web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,Brand,Price,Address,image_link-src
"1732657777-1","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Gilera piaggio stalker 50","https://www.dakarvente.com/annonce-98-gilera-piaggio-stalker-50.html","Gilera piaggio stalker 50","350.000  FCFA","Plateau","media/annonces/pics/d21019275a66badba841be57ea1c4297.jpg"
"1732657789-2","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","T-max","https://www.dakarvente.com/annonce-9-t-max.html","T-max","1.700.000  FCFA","Plateau","media/annonces/pics/78b7dd4158bd818b569ec884c624ade2.jpg"
"1732657793-3","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda sh","https://www.dakarvente.com/annonce-194-honda-sh.html","Honda sh","1.200.000  FCFA","Plateau","media/annonces/pics/6f3687b2965ffde414a321f13dbd7537.jpg"
"1732657797-4","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda hornet 600","https://www.dakarvente.com/annonce-196-honda-hornet-600.html","Honda hornet 600","1.200.000  FCFA","Plateau","media/annonces/pics/6f9a2918bfdb5e060105060b6f2026ba.jpg"
"1732657801-5","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Tmax 530","https://www.dakarvente.com/annonce-195-tmax-530.html","Tmax 530","2.300.000  FCFA","Plateau","media/annonces/pics/940f418806fbd25c6f871ba3b36887f1.jpg"
"1732657805-6","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Vespa 250","https://www.dakarvente.com/annonce-256-vespa-250.html","Vespa 250","550.000  FCFA","Plateau","media/annonces/pics/a8b8f7d93d2b0a32eed02e11efd3bb71.jpg"
"1732657811-7","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Nexus m-35","https://www.dakarvente.com/annonce-254-nexus-m-35.html","Nexus m-35","750.000  FCFA","Plateau",""
"1732657820-8","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Kymko 4 temps 125","https://www.dakarvente.com/annonce-252-kymko-4-temps-125.html","Kymko 4 temps 125","140.000  FCFA","Plateau","media/annonces/pics/93a04ba02fde08d07eacad9a8fa3664e.jpg"
"1732657828-9","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda hornet 600","https://www.dakarvente.com/annonce-354-honda-hornet-600.html","Honda hornet 600","1.000.000  FCFA","Plateau","media/annonces/pics/534b67de05771d7f50f730b269ae1e0f.jpg"
"1732657832-10","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Tmax 500","https://www.dakarvente.com/annonce-355-tmax-500.html","Tmax 500","1.650.000  FCFA","Plateau","media/annonces/pics/7793c38cf9962a54a16a72257c89840a.jpg"
"1732657836-11","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Yamaha  Yzf 450","https://www.dakarvente.com/annonce-734-yamaha-yzf-450.html","Yamaha  Yzf 450","4.000.000  FCFA","Plateau","media/annonces/pics/1e61fbab98fe97e56b63c87d0e923b38.jpg"
"1732657840-12","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda transalp 700","https://www.dakarvente.com/annonce-730-honda-transalp-700.html","Honda transalp 700","2.000.000  FCFA","Plateau","media/annonces/pics/0f5d602de76d89d2db55e555f94192ac.jpg"
"1732657845-13","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Vend hoverboard led venant des USA","https://www.dakarvente.com/annonce-913-vend-hoverboard-led-venant-des-usa.html","Vend  hoverboard  led venant des USA","100.000  FCFA","Plateau","media/annonces/pics/7c9b21df1416530386abf290c945ea98.png"
"1732657850-14","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Sh 125 injection","https://www.dakarvente.com/annonce-981-sh-125-injection.html","Sh 125 injection","","Plateau","media/annonces/pics/3f2353e92c3e1d282dea68b6bbdb2b74.jpeg"
"1732657855-15","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","SUPER MOTOS","https://www.dakarvente.com/annonce-1048-super-motos.html","SUPER MOTOS","1.250.000  FCFA","Plateau","media/annonces/pics/eb56022d6a8013cae64a5150a0b9c3bf.jpg"
"1732657862-16","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","TMAX 530 DX","https://www.dakarvente.com/annonce-1217-tmax-530-dx.html","TMAX 530 DX","4.500.000  FCFA","Plateau","media/annonces/pics/ea5badd663c7384eb8474729a16640a2.jpg"
"1732657866-17","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Liberty 4temps50","https://www.dakarvente.com/annonce-1231-liberty-4temps50.html","Liberty 4temps50","700.000  FCFA","Plateau","media/annonces/pics/64a126180efdaee98e3edc44042c2018.jpg"
"1732657869-18","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Xc 300 versity","https://www.dakarvente.com/annonce-1308-xc-300-versity.html","Xc 300 versity","550.000  FCFA","Plateau","media/annonces/pics/e31e82b3e3e820c8e6d18f8b9c5016d0.jpg"
"1732657874-19","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Scooter  Typhon","https://www.dakarvente.com/annonce-1307-scooter-typhon.html","Scooter  Typhon","","Plateau","media/annonces/pics/55f695478d927e3399db181aa75a59d3.jpg"
"1732657879-20","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","T-max 530 iron","https://www.dakarvente.com/annonce-1435-t-max-530-iron.html","T-max 530 iron","4.000.000  FCFA","Plateau","media/annonces/pics/ccd4ecb22b3fb8b33313220e22078a4b.jpg"
"1732657886-21","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Honda sh 125","https://www.dakarvente.com/annonce-1448-honda-sh-125.html","Honda sh 125","975.000  FCFA","Plateau","media/annonces/pics/a6f26f0bf851b367f6d7b331099614c9.jpg"
"1732657892-22","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Scooter honda arobase","https://www.dakarvente.com/annonce-1449-scooter-honda-arobase.html","Scooter honda arobase","250.000  FCFA","Plateau","media/annonces/pics/37fd3ad1f88e4d4a401ccec3baed1fb7.jpg"
"1732657896-23","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Typhoon","https://www.dakarvente.com/annonce-1521-typhoon.html","Typhoon","220.000  FCFA","Plateau","media/annonces/pics/a32417e4ab620ff7258d962947c31aec.jpg"
"1732657902-24","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Tmax 500 injection en parfait état","https://www.dakarvente.com/annonce-1572-vends-tmax-500-injection-en-parfait-tat-contact-775152740.html","Tmax 500 injection en parfait état","1.200.000  FCFA","Plateau","media/annonces/pics/3a31d94713e909340dff48cfccf10360.jpg"
"1732657906-25","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Scooter majesty","https://www.dakarvente.com/annonce-1608-scooter-majesty.html","Scooter  majesty","500.000  FCFA","Plateau","media/annonces/pics/b9ca13aaf98409d8ca63422c9031aecf.jpg"
"1732657912-26","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Scooter","https://www.dakarvente.com/annonce-1661-scooter.html","Scooter","420.000  FCFA","Plateau","media/annonces/pics/fb9437845d1d47458b27080e799c51c2.jpg"
"1732657917-27","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=12","Motocyclettes et tricycles","https://www.dakarvente.com/annonce-1667-motocyclettes-et-tricycles.html","Motocyclettes et  tricycles","350.000  FCFA","Plateau","media/annonces/pics/5b5212ae986193b7588676e144165006.jpg"
"1732657933-28","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto  Xc 300","https://www.dakarvente.com/annonce-1605-moto-xc-300.html","Moto  Xc 300","700.000  FCFA","Plateau","media/annonces/pics/37cb84ea3e4c6ea71cc403457f5fe559.jpg"
"1732657938-29","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto enduro bmw","https://www.dakarvente.com/annonce-1756-moto-enduro-bmw.html","Moto enduro  bmw","2.000.000  FCFA","Plateau","media/annonces/pics/f047d366eccecc75264707856bf1c41f.jpg"
"1732657943-30","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Tmax DX","https://www.dakarvente.com/annonce-1774-tmax-dx.html","Tmax DX","","Plateau","media/annonces/pics/c9ee916dd3025600494abfc58292889d.jpg"
"1732657948-31","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto","https://www.dakarvente.com/annonce-1782-moto.html","Moto","550.000  FCFA","Plateau","media/annonces/pics/e0ec05eadee07a25f07e51acacfaa496.jpg"
"1732657952-32","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto djakarta","https://www.dakarvente.com/annonce-1780-moto-djakarta.html","Moto djakarta","250.000  FCFA","Plateau","media/annonces/pics/8f4bfb0e6da657d81393b7db56f790be.jpg"
"1732657957-33","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Yamaha MT 07","https://www.dakarvente.com/annonce-1781-yamaha-mt-07.html","Yamaha MT 07","3.800.000  FCFA","Plateau","media/annonces/pics/1592e23f45fd8bac0d5329265a49f43b.jpg"
"1732657962-34","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto zip piaggio","https://www.dakarvente.com/annonce-1778-moto-zip-piaggio.html","Moto zip piaggio","200.000  FCFA","Plateau","media/annonces/pics/4189bc89fdb8b7c50a516e350a44ab7b.jpg"
"1732657967-35","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto apache","https://www.dakarvente.com/annonce-1779-moto-apache.html","Moto apache","400.000  FCFA","Plateau","media/annonces/pics/9e42d1d896c5933244a1b2d07e28c70c.jpg"
"1732657971-36","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","BMW gs 1200","https://www.dakarvente.com/annonce-1821-bmw-gs-1200.html","BMW gs 1200","3.500.000  FCFA","Plateau","media/annonces/pics/12e95530b56af38518e64ee07d771534.jpg"
"1732657975-37","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Moto bmw gs 1200","https://www.dakarvente.com/annonce-1757-moto-bmw-gs-1200.html","Moto bmw gs 1200","4.250.000  FCFA","Plateau","media/annonces/pics/9a972f46c814e79972f834879a768275.jpg"
