web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,Brand,Price,Address,image_link-src
"1732745203-1","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Ford Focus 2014 Titanium","https://www.dakarvente.com/annonce-16356-ford-focus-2014-titanium.html","Ford Focus 2014 Titanium","3.600.000  FCFA","Dakar","media/annonces/pics/4be7a8b20d4b06b4be9d45c6e316a0da.jpeg"
"1732745208-2","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Peugeot 508 2012","https://www.dakarvente.com/annonce-16386-peugeot-508-2012.html","Peugeot 508 2012","3.300.000  FCFA","Rufisque","media/annonces/pics/71026211a54fbebabf54676e9e85cebc.jpeg"
"1732745212-3","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Honda Civic 2010","https://www.dakarvente.com/annonce-16388-honda-civic-2010.html","Honda Civic 2010","1.900.000  FCFA","Parcelles assainies","media/annonces/pics/d4498e8bfd009ca76aeb7487dedd6bfb.jpeg"
"1732745217-4","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Achat de vehicule","https://www.dakarvente.com/annonce-16404-achat-de-vehicule.html","Achat de vehicule","25.000.000  FCFA","Dakar","img/nophoto.png"
"1732745222-5","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Range Rover Autobiography 2016","https://www.dakarvente.com/annonce-16405-range-rover-autobiography-2016.html","Range Rover Autobiography 2016","8.200.000  FCFA","Amitié","media/annonces/pics/0306979f26b79f52a2784ff5d45d6d75.jpg"
"1732745227-6","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Peugeot 407","https://www.dakarvente.com/annonce-16409-peugeot-407.html","Peugeot 407","2.800.000  FCFA","Patte d'Oie","media/annonces/pics/936534e3ada222dfed17ae2489479854.jpeg"
"1732745235-7","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Renault kangoo 2 portes 2012","https://www.dakarvente.com/annonce-16410-renault-kangoo-2-portes-2012.html","Renault kangoo 2 portes 2012","3.200.000  FCFA","Dakar","media/annonces/pics/f171eb34ec3fffa145cfb00518f35441.jpeg"
"1732745239-8","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Citroën C3","https://www.dakarvente.com/annonce-16411-citron-c3.html","Citroën C3","1.900.000  FCFA","HLM","media/annonces/pics/d2580178cf812856dfcf6117412c1696.jpeg"
"1732745245-9","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Chevrolet Cobalt 2008","https://www.dakarvente.com/annonce-16412-chevrolet-cobalt-2008.html","Chevrolet Cobalt 2008","2.000.000  FCFA","Biscuiterie","media/annonces/pics/cce184cb9a00fe1ff811bf8a482b1b8e.jpeg"
"1732745251-10","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=77","Peugeot 208 Gt 2016","https://www.dakarvente.com/annonce-16457-peugeot-208-gt-2016.html","Peugeot 208 Gt 2016","4.900.000  FCFA","Parcelles assainies","media/annonces/pics/c8f42a4a53e5675c0ed50870f3286aef.jpeg"
