Brand,Price,Address,image_link-src
Ford Focus 2014 Titanium,3.600.000 ,Dakar,media/annonces/pics/4be7a8b20d4b06b4be9d45c6e316a0da.jpeg
Peugeot 508 2012,3.300.000 ,Rufisque,media/annonces/pics/71026211a54fbebabf54676e9e85cebc.jpeg
Honda Civic 2010,1.900.000 ,Parcelles assainies,media/annonces/pics/d4498e8bfd009ca76aeb7487dedd6bfb.jpeg
Achat de vehicule,25.000.000 ,Dakar,img/nophoto.png
Range Rover Autobiography 2016,8.200.000 ,Amitié,media/annonces/pics/0306979f26b79f52a2784ff5d45d6d75.jpg
Peugeot 407,2.800.000 ,Patte d'Oie,media/annonces/pics/936534e3ada222dfed17ae2489479854.jpeg
Renault kangoo 2 portes 2012,3.200.000 ,Dakar,media/annonces/pics/f171eb34ec3fffa145cfb00518f35441.jpeg
Citroën C3,1.900.000 ,HLM,media/annonces/pics/d2580178cf812856dfcf6117412c1696.jpeg
Chevrolet Cobalt 2008,2.000.000 ,Biscuiterie,media/annonces/pics/cce184cb9a00fe1ff811bf8a482b1b8e.jpeg
Peugeot 208 Gt 2016,4.900.000 ,Parcelles assainies,media/annonces/pics/c8f42a4a53e5675c0ed50870f3286aef.jpeg
Peugeot 308 2010,2.750.000 ,Dakar,media/annonces/pics/076cf2d0cf474c87585602846d2c91e1.jpeg
Chevrolet TRAX 2014,6.950.000 ,Biscuiterie,media/annonces/pics/d8ebcc09c1fa9099c5bbf84634bcaa21.jpeg
Camion Renault Magnum,2.600.000 ,Mbour,media/annonces/pics/d552c8d761949a1dbf01ed3a24df1f46.jpeg
KIA SORENTO 2006,3.700.000 ,Virage,media/annonces/pics/6414c9d9f1d8f5deb250e5b18b00b0f5.jpeg
Burgman 400,850.000 ,Rufisque,media/annonces/pics/96b03b579c89e112f0115d1f197b4c28.jpg
Toyota Avensis 2008,2.000.000 ,Dakar,media/annonces/pics/6a1c652364980ad0af981a86d1c38c8d.jpeg
Toyota Avensis 2008,2.000.000 ,Pikine,media/annonces/pics/fef4a002392bc497883d40561309acaa.jpeg
Chevrolet Equinoxe 2014,6.800.000 ,Patte d'Oie,media/annonces/pics/3711d5a06fb64078bfc04e91802ec268.jpeg
Kymco people 200,250.000 ,Dakar,media/annonces/pics/2f926be0b4a8deac0bf07526d7839266.jpg
Kia Sorento 2008,2.600.000 ,Rufisque,media/annonces/pics/b1cd80880708b4aa1218e247bb34da53.jpeg
Dacia Sandero 2012 Venant,2.900.000 ,Derklé,media/annonces/pics/2a29d6819d25c879ca3c6fc07029bb26.jpeg
Ford Escape venant 2012,5.500.000 ,HLM,media/annonces/pics/eb02ee4a10a24b031ce19b7da5c47ad0.jpeg
Mitsubishi Pajero,2.000.000 ,HLM,media/annonces/pics/3109af66a9d300bcffea6b1fa389f603.jpeg
Ford Escape 2012,5.900.000 ,Castors,media/annonces/pics/b2a45bc81aaff58c527049796e21d5fa.jpeg
Kia Sorento à louer,35.000 ,Sicap liberté,media/annonces/pics/5fe2c39df0696bf785bca141064e934e.jpeg
Jeep Wrangler 2012,25.000.000 ,Derklé,media/annonces/pics/2060b1d2a64f80cc107ca230cb5f2529.jpeg
Chevrolet Spark,2.500.000 ,Hann Maristes,media/annonces/pics/a56eeda1207532e4c0048dd8e16c3a03.jpg
Renault 21,2.300.000 ,Dakar,media/annonces/pics/2775e0b2f4592a88df22ee30edc18c7f.jpg
Chevrolet Equinox 4x4,6.500.000 ,Dakar,img/nophoto.png
Peugeot 308 Full Options,2.500.000 ,Fass,media/annonces/pics/b5a225e0ce23098cba3ed3f7d69f90d6.jpeg
Toyota Auris,2.400.000 ,Colobane,media/annonces/pics/0ddd911860bcbc343271b9f357f58976.jpeg
Peugeot 3008 2011,2.800.000 ,Dieuppeul,media/annonces/pics/779116a5a9edc59bfc502897bef9d7b8.jpeg
Ford Focus 2013,6.000.000 ,Dakar,media/annonces/pics/d2d9c7ce0ec3b65693e7fe9c472cd68d.jpeg
Chevrolet Equinox,7.300.000 ,Point E,media/annonces/pics/76167481854e18f3260a45159e3c9741.jpg
BMW X5 XDrive 35i,23.500.000 ,Dakar,media/annonces/pics/16672d06101e3352f1ea1bd60e79faaf.jpg
Peugeot 308 SW,5.000.000 ,Dakar,media/annonces/pics/da7a81df575e5f01d083a321c619a0d3.jpg
BWM X3,11.000.000 ,Dakar,media/annonces/pics/9df5fde23f4f45b13286cc05223db8fe.jpeg
