web-scraper-order,web-scraper-start-url,articles_links,articles_links-href,Brand,Price,Adress,image_link-src
"1732654826-1","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location d'une citroen c4","https://www.dakarvente.com/annonce-437-location-d-une-citroen-c4.html","Location d'une  citroen c4Logements de qualité à louer","20.000  FCFA","Plateau","media/annonces/pics/a86bdb3107f5ddda48690f79dac478e3.jpg"
"1732654830-2","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location de voitures et mini bus avec chauffeur","https://www.dakarvente.com/annonce-648-location-de-voitures-et-mini-bus-avec-chauffeur.html","Location de voitures et mini bus avec chauffeurLogements de qualité à louerConcessionnaires automobiles à proximité","50.000  FCFA","Plateau","media/annonces/pics/baf6b26075945f9226489851936d8d65.jpg"
"1732654834-3","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Sen service location loue des voiture des marques","https://www.dakarvente.com/annonce-702-sen-service-location-loue-des-voiture-des-marques.html","Sen service location loue des voiture des marquesLogements de qualité à louerConcessionnaires automobiles à proximité","30.000  FCFA","Plateau","media/annonces/pics/15ea8355bee0950e2b7f50a9ad50b086.jpg"
"1732654838-4","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Toyota yaris sedan","https://www.dakarvente.com/annonce-1233-toyota-yaris-sedan.html","Toyota yaris  sedan","20.000  FCFA","Plateau","media/annonces/pics/2edb1d489a6de9f9c188533b89c779ca.jpg"
"1732654841-5","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Nissan juke","https://www.dakarvente.com/annonce-1377-nissane-juke.html","Nissan juke","50.000  FCFA","Plateau","media/annonces/pics/efc3fa21f902e1e8691a6d23e14eb5d8.jpg"
"1732654845-6","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location de voiture cobalt","https://www.dakarvente.com/annonce-1302-location-de-voiture-cobalt.html","Location de voiture cobalt","25.000  FCFA","Plateau","media/annonces/pics/b8beb78f2536162ef279fa99eb2c6e15.jpg"
"1732654849-7","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Toyota sequoia v8 a louer","https://www.dakarvente.com/annonce-2070-toyota-sequoia-v8-a-louer.html","Toyota sequoia v8 a louer","100.000  FCFA","Plateau","media/annonces/pics/516fe4d4d1e6c03dbbf60241d5bbeeaa.jpg"
"1732654853-8","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","loue voiture toutes marque à partir de 25 000 cfa","https://www.dakarvente.com/annonce-2301-loue-voiture-toutes-marque-partir-de-25-000-cfa.html","loue voiture toutes marque à partir de 25 000 cfa","30.000  FCFA","Ouest Foire","media/annonces/pics/238760a28f9060a5d01fcf5ecd260e2a.png"
"1732654856-9","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Location  nissan juke","https://www.dakarvente.com/annonce-1378-location-nissan-juke.html","Location  nissan juke","50.000  FCFA","Plateau","img/nophoto.png"
"1732654860-10","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=5","Bateau à louer","https://www.dakarvente.com/annonce-3079-bateau-louer.html","Bateau à louer","90.000  FCFA","Somone","media/annonces/pics/f3fe90a0ee4bb8c0e3232774052718cf.jpg"
